city,name,value,veh_series
浙江省-台州市,50%+,1,HS5
重庆市-双桥区,0~50%,1,HS5
北京市-密云县,50%+,5,HS5
湖南省-娄底市,0~50%,389,HS5
江西省-吉安市,50%+,6,HS5
湖北省-鄂州市,50%+,2,HS5
安徽省-池州市,50%+,6,HS5
湖南省-怀化市,0~50%,1668,HS5
北京市-延庆县,0~50%,54,HS5
贵州省-贵阳市,0~50%,4501,HS5
上海市-嘉定区,0~50%,335,HS5
新疆维吾尔自治区-克孜勒苏柯尔克孜自治州,0~50%,26,HS5
湖北省-湖北省,50%+,1,HS5
内蒙古自治区-乌兰察布市,50%+,37,HS5
广东省-清远市,0~50%,1689,HS5
陕西省-铜川市,0~50%,281,HS5
西藏自治区-日喀则地区,0~50%,42,HS5
江苏省-扬州市,0~50%,703,HS5
山东省-山东省,0~50%,56,HS5
重庆市-云阳县,0~50%,458,HS5
山西省-大同市,50%+,22,HS5
陕西省-榆林市,0~50%,820,HS5
广东省-广东省,50%+,7,HS5
新疆维吾尔自治区-阿勒泰地区,50%+,3,HS5
江西省-景德镇市,0~50%,147,HS5
四川省-德阳市,0~50%,1305,HS5
湖北省-恩施土家族苗族自治州,0~50%,516,HS5
四川省-凉山彝族自治州,50%+,12,HS5
陕西省-延安市,0~50%,666,HS5
云南省-普洱市,0~50%,274,HS5
江苏省-连云港市,0~50%,508,HS5
山东省-东营市,0~50%,315,HS5
贵州省-铜仁地区,50%+,9,HS5
新疆维吾尔自治区-石河子市,0~50%,28,HS5
云南省-德宏傣族景颇族自治州,0~50%,140,HS5
山西省-临汾市,0~50%,833,HS5
西藏自治区-昌都地区,0~50%,5,HS5
湖北省-荆州市,0~50%,414,HS5
山东省-临沂市,50%+,10,HS5
辽宁省-铁岭市,50%+,14,HS5
重庆市-石柱土家族自治县,0~50%,196,HS5
广西壮族自治区-贵港市,0~50%,210,HS5
山东省-潍坊市,0~50%,778,HS5
宁夏回族自治区-固原市,50%+,8,HS5
陕西省-汉中市,0~50%,651,HS5
内蒙古自治区-鄂尔多斯市,0~50%,924,HS5
山西省-太原市,0~50%,1050,HS5
福建省-宁德市,0~50%,501,HS5
山西省-忻州市,50%+,53,HS5
西藏自治区-山南地区,0~50%,41,HS5
西藏自治区-林芝地区,0~50%,119,HS5
青海省-黄南藏族自治州,0~50%,71,HS5
重庆市-巴南区,50%+,1,HS5
上海市-浦东新区,0~50%,108,HS5
吉林省-延边朝鲜族自治州,0~50%,291,HS5
安徽省-合肥市,50%+,20,HS5
贵州省-遵义市,0~50%,5636,HS5
黑龙江省-大庆市,50%+,11,HS5
天津市-汉沽区,0~50%,115,HS5
山西省-朔州市,50%+,13,HS5
吉林省-通化市,50%+,12,HS5
江西省-抚州市,0~50%,433,HS5
广东省-云浮市,0~50%,716,HS5
上海市-闵行区,50%+,5,HS5
天津市-大港区,50%+,3,HS5
福建省-厦门市,0~50%,290,HS5
天津市-北辰区,0~50%,268,HS5
湖南省-衡阳市,0~50%,1257,HS5
云南省-红河哈尼族彝族自治州,50%+,4,HS5
湖北省-天门市,0~50%,84,HS5
陕西省-宝鸡市,50%+,15,HS5
新疆维吾尔自治区-伊犁哈萨克自治州,0~50%,280,HS5
吉林省-吉林市,50%+,11,HS5
河北省-河北省,0~50%,257,HS5
内蒙古自治区-兴安盟,50%+,107,HS5
甘肃省-金昌市,0~50%,80,HS5
吉林省-辽源市,50%+,7,HS5
天津市-宝坻区,0~50%,330,HS5
云南省-临沧市,0~50%,87,HS5
海南省-澄迈县,0~50%,257,HS5
内蒙古自治区-通辽市,50%+,33,HS5
河北省-秦皇岛市,50%+,26,HS5
甘肃省-陇南市,50%+,6,HS5
湖北省-襄樊市,0~50%,1018,HS5
重庆市-黔江区,50%+,3,HS5
广西壮族自治区-钦州市,50%+,15,HS5
内蒙古自治区-内蒙古自治区,50%+,3,HS5
四川省-雅安市,50%+,6,HS5
福建省-莆田市,50%+,2,HS5
江西省-赣州市,0~50%,3089,HS5
河南省-漯河市,0~50%,288,HS5
宁夏回族自治区-吴忠市,50%+,28,HS5
河北省-唐山市,0~50%,1169,HS5
四川省-攀枝花市,50%+,3,HS5
青海省-海南藏族自治州,50%+,21,HS5
上海市-青浦区,50%+,4,HS5
新疆维吾尔自治区-博尔塔拉蒙古自治州,50%+,2,HS5
福建省-三明市,0~50%,459,HS5
浙江省-嘉兴市,50%+,15,HS5
新疆维吾尔自治区-哈密地区,0~50%,344,HS5
上海市-南汇区,0~50%,215,HS5
黑龙江省-齐齐哈尔市,50%+,11,HS5
黑龙江省-伊春市,50%+,6,HS5
广西壮族自治区-北海市,50%+,5,HS5
贵州省-安顺市,0~50%,1942,HS5
陕西省-咸阳市,0~50%,1497,HS5
广西壮族自治区-百色市,50%+,1,HS5
河南省-南阳市,50%+,13,HS5
福建省-漳州市,50%+,1,HS5
河南省-濮阳市,50%+,11,HS5
上海市-上海市,50%+,1,HS5
河北省-廊坊市,50%+,25,HS5
重庆市-北碚区,50%+,4,HS5
海南省-三亚市,0~50%,657,HS5
山西省-长治市,50%+,10,HS5
四川省-遂宁市,50%+,14,HS5
河南省-周口市,50%+,14,HS5
重庆市-荣昌县,0~50%,70,HS5
重庆市-丰都县,0~50%,124,HS5
海南省-保亭黎族苗族自治县,0~50%,86,HS5
广西壮族自治区-梧州市,50%+,10,HS5
宁夏回族自治区-宁夏回族自治区,0~50%,22,HS5
陕西省-商洛市,50%+,2,HS5
河南省-鹤壁市,50%+,3,HS5
辽宁省-沈阳市,50%+,26,HS5
河南省-三门峡市,0~50%,487,HS5
安徽省-阜阳市,0~50%,274,HS5
湖南省-郴州市,50%+,14,HS5
广东省-阳江市,50%+,5,HS5
四川省-南充市,50%+,50,HS5
广东省-河源市,0~50%,724,HS5
甘肃省-张掖市,0~50%,180,HS5
湖南省-岳阳市,50%+,14,HS5
四川省-自贡市,50%+,8,HS5
广东省-汕尾市,50%+,9,HS5
重庆市-沙坪坝区,0~50%,363,HS5
辽宁省-营口市,50%+,9,HS5
北京市-朝阳区,50%+,3,HS5
吉林省-白山市,50%+,3,HS5
吉林省-吉林省,0~50%,89,HS5
山东省-烟台市,50%+,9,HS5
甘肃省-甘南藏族自治州,0~50%,122,HS5
海南省-海口市,0~50%,626,HS5
四川省-资阳市,0~50%,526,HS5
河北省-张家口市,0~50%,1341,HS5
黑龙江省-双鸭山市,50%+,2,HS5
辽宁省-锦州市,50%+,5,HS5
黑龙江省-佳木斯市,50%+,15,HS5
辽宁省-本溪市,50%+,1,HS5
湖北省-十堰市,0~50%,268,HS5
四川省-四川省,0~50%,105,HS5
河南省-安阳市,50%+,7,HS5
贵州省-黔南布依族苗族自治州,50%+,32,HS5
浙江省-舟山市,0~50%,108,HS5
河北省-石家庄市,50%+,32,HS5
四川省-泸州市,0~50%,1050,HS5
甘肃省-酒泉市,50%+,150,HS5
福建省-福建省,0~50%,11,HS5
河南省-洛阳市,0~50%,963,HS5
江苏省-无锡市,0~50%,1467,HS5
广东省-梅州市,50%+,9,HS5
天津市-蓟县,50%+,1,HS5
安徽省-淮北市,0~50%,157,HS5
河北省-承德市,0~50%,1115,HS5
广西壮族自治区-广西壮族自治区,50%+,4,HS5
河北省-邢台市,0~50%,915,HS5
内蒙古自治区-包头市,50%+,24,HS5
甘肃省-白银市,0~50%,462,HS5
山西省-晋城市,50%+,8,HS5
云南省-楚雄彝族自治州,50%+,5,HS5
云南省-保山市,0~50%,492,HS5
北京市-房山区,0~50%,487,HS5
天津市-西青区,50%+,8,HS5
重庆市-武隆县,0~50%,265,HS5
广西壮族自治区-来宾市,0~50%,184,HS5
广东省-中山市,0~50%,1168,HS5
河南省-许昌市,50%+,19,HS5
甘肃省-定西市,50%+,15,HS5
云南省-西双版纳傣族自治州,50%+,2,HS5
新疆维吾尔自治区-克拉玛依市,50%+,3,HS5
江苏省-常州市,0~50%,1299,HS5
湖北省-武汉市,0~50%,1786,HS5
海南省-儋州市,50%+,1,HS5
广东省-韶关市,50%+,12,HS5
甘肃省-武威市,50%+,18,HS5
湖南省-张家界市,0~50%,252,HS5
河北省-邯郸市,50%+,14,HS5
黑龙江省-绥化市,0~50%,110,HS5
天津市-天津市,50%+,2,HS5
广东省-肇庆市,0~50%,1555,HS5
北京市-北京市,0~50%,119,HS5
辽宁省-朝阳市,0~50%,106,HS5
重庆市-奉节县,50%+,1,HS5
甘肃省-兰州市,50%+,26,HS5
安徽省-宣城市,0~50%,542,HS5
重庆市-潼南县,0~50%,70,HS5
重庆市-垫江县,0~50%,121,HS5
湖南省-永州市,50%+,16,HS5
福建省-福州市,0~50%,1988,HS5
云南省-昭通市,50%+,11,HS5
湖北省-宜昌市,0~50%,690,HS5
安徽省-安徽省,0~50%,158,HS5
贵州省-贵阳市,50%+,49,HS5
新疆维吾尔自治区-克孜勒苏柯尔克孜自治州,50%+,1,HS5
北京市-海淀区,50%+,2,HS5
上海市-嘉定区,50%+,1,HS5
山西省-阳泉市,0~50%,252,HS5
山东省-济南市,50%+,9,HS5
山西省-吕梁市,0~50%,341,HS5
四川省-眉山市,0~50%,965,HS5
四川省-绵阳市,0~50%,1250,HS5
新疆维吾尔自治区-昌吉回族自治州,50%+,17,HS5
贵州省-黔西南布依族苗族自治州,50%+,15,HS5
海南省-定安县,0~50%,448,HS5
新疆维吾尔自治区-乌鲁木齐市,0~50%,626,HS5
山东省-济宁市,0~50%,1345,HS5
新疆维吾尔自治区-吐鲁番地区,50%+,84,HS5
北京市-通州区,50%+,10,HS5
江西省-南昌市,50%+,7,HS5
辽宁省-抚顺市,50%+,1,HS5
河南省-商丘市,50%+,28,HS5
内蒙古自治区-乌海市,0~50%,99,HS5
广东省-潮州市,0~50%,203,HS5
甘肃省-临夏回族自治州,50%+,3,HS5
青海省-玉树藏族自治州,0~50%,128,HS5
新疆维吾尔自治区-喀什地区,0~50%,151,HS5
辽宁省-大连市,0~50%,1001,HS5
吉林省-松原市,0~50%,1164,HS5
北京市-顺义区,50%+,2,HS5
海南省-万宁市,50%+,124,HS5
广东省-湛江市,0~50%,278,HS5
黑龙江省-七台河市,50%+,4,HS5
云南省-云南省,50%+,1,HS5
辽宁省-辽宁省,0~50%,13,HS5
江西省-萍乡市,0~50%,156,HS5
四川省-广安市,50%+,14,HS5
四川省-乐山市,50%+,5,HS5
湖北省-潜江市,0~50%,61,HS5
安徽省-宿州市,0~50%,359,HS5
青海省-黄南藏族自治州,50%+,1,HS5
浙江省-湖州市,0~50%,1348,HS5
上海市-浦东新区,50%+,4,HS5
吉林省-延边朝鲜族自治州,50%+,3,HS5
山东省-青岛市,50%+,9,HS5
河南省-河南省,0~50%,39,HS5
广东省-东莞市,0~50%,3203,HS5
贵州省-遵义市,50%+,63,HS5
湖南省-湘潭市,0~50%,878,HS5
湖北省-咸宁市,0~50%,316,HS5
重庆市-璧山县,0~50%,351,HS5
新疆维吾尔自治区-巴音郭楞蒙古自治州,50%+,6,HS5
天津市-河西区,0~50%,1,HS5
新疆维吾尔自治区-阿克苏地区,0~50%,186,HS5
重庆市-长寿区,0~50%,198,HS5
湖南省-长沙市,0~50%,2381,HS5
宁夏回族自治区-石嘴山市,50%+,11,HS5
重庆市-大足县,0~50%,167,HS5
北京市-怀柔区,50%+,1,HS5
内蒙古自治区-呼和浩特市,0~50%,1039,HS5
江苏省-泰州市,50%+,11,HS5
云南省-曲靖市,0~50%,1369,HS5
四川省-巴中市,50%+,8,HS5
江苏省-镇江市,0~50%,799,HS5
湖北省-孝感市,50%+,10,HS5
河北省-衡水市,0~50%,510,HS5
广西壮族自治区-河池市,0~50%,339,HS5
江西省-鹰潭市,0~50%,145,HS5
内蒙古自治区-呼伦贝尔市,50%+,13,HS5
西藏自治区-拉萨市,0~50%,113,HS5
湖北省-黄冈市,50%+,3,HS5
广东省-揭阳市,50%+,9,HS5
湖南省-株洲市,0~50%,887,HS5
重庆市-江北区,0~50%,240,HS5
重庆市-忠县,50%+,1,HS5
安徽省-安庆市,0~50%,651,HS5
河南省-驻马店市,50%+,32,HS5
重庆市-九龙坡区,50%+,3,HS5
陕西省-渭南市,0~50%,961,HS5
天津市-塘沽区,50%+,7,HS5
江苏省-淮安市,0~50%,700,HS5
江苏省-南通市,0~50%,1650,HS5
天津市-宁河县,0~50%,205,HS5
辽宁省-丹东市,50%+,6,HS5
广西壮族自治区-桂林市,0~50%,1059,HS5
四川省-宜宾市,0~50%,985,HS5
湖南省-益阳市,50%+,2,HS5
湖北省-随州市,0~50%,313,HS5
河南省-郑州市,50%+,24,HS5
重庆市-南川区,0~50%,627,HS5
吉林省-四平市,0~50%,1105,HS5
重庆市-彭水苗族土家族自治县,0~50%,155,HS5
重庆市-酉阳土家族苗族自治县,0~50%,110,HS5
北京市-石景山区,0~50%,23,HS5
贵州省-安顺市,50%+,28,HS5
上海市-宝山区,0~50%,41,HS5
河南省-新乡市,50%+,8,HS5
重庆市-南岸区,0~50%,203,HS5
陕西省-安康市,50%+,1,HS5
天津市-津南区,50%+,10,HS5
辽宁省-葫芦岛市,0~50%,782,HS5
重庆市-铜梁县,0~50%,249,HS5
云南省-迪庆藏族自治州,0~50%,13,HS5
宁夏回族自治区-宁夏回族自治区,50%+,3,HS5
重庆市-合川区,0~50%,373,HS5
福建省-泉州市,50%+,5,HS5
河南省-三门峡市,50%+,2,HS5
江苏省-盐城市,50%+,19,HS5
安徽省-阜阳市,50%+,9,HS5
山东省-淄博市,50%+,5,HS5
广西壮族自治区-崇左市,0~50%,299,HS5
北京市-大兴区,0~50%,783,HS5
甘肃省-平凉市,50%+,1,HS5
青海省-西宁市,50%+,5,HS5
广东省-佛山市,50%+,11,HS5
山西省-山西省,50%+,1,HS5
海南省-文昌市,0~50%,59,HS5
吉林省-吉林省,50%+,9,HS5
山东省-威海市,0~50%,290,HS5
江西省-宜春市,50%+,9,HS5
山东省-聊城市,0~50%,842,HS5
云南省-大理白族自治州,50%+,9,HS5
山东省-滨州市,50%+,7,HS5
湖南省-湘西土家族苗族自治州,0~50%,1181,HS5
湖南省-常德市,0~50%,584,HS5
-,50%+,805,HS5
云南省-文山壮族苗族自治州,50%+,1,HS5
甘肃省-天水市,50%+,8,HS5
天津市-武清区,50%+,6,HS5
浙江省-舟山市,50%+,1,HS5
广东省-汕头市,0~50%,181,HS5
北京市-密云县,0~50%,244,HS5
四川省-成都市,50%+,58,HS5
湖南省-邵阳市,50%+,26,HS5
江西省-吉安市,0~50%,644,HS5
湖北省-鄂州市,0~50%,368,HS5
新疆维吾尔自治区-图木舒克市,0~50%,2,HS5
江苏省-徐州市,50%+,8,HS5
安徽省-淮北市,50%+,1,HS5
湖北省-湖北省,0~50%,82,HS5
陕西省-陕西省,50%+,6,HS5
内蒙古自治区-乌兰察布市,0~50%,1198,HS5
安徽省-马鞍山市,0~50%,288,HS5
山西省-大同市,0~50%,467,HS5
重庆市-巫溪县,0~50%,34,HS5
海南省-五指山市,0~50%,302,HS5
四川省-广元市,50%+,14,HS5
广东省-广东省,0~50%,123,HS5
江西省-新余市,50%+,1,HS5
新疆维吾尔自治区-阿勒泰地区,0~50%,101,HS5
安徽省-亳州市,0~50%,143,HS5
四川省-凉山彝族自治州,0~50%,509,HS5
宁夏回族自治区-中卫市,50%+,21,HS5
安徽省-铜陵市,0~50%,136,HS5
贵州省-铜仁地区,0~50%,1238,HS5
江西省-九江市,50%+,1,HS5
重庆市-渝北区,50%+,4,HS5
内蒙古自治区-赤峰市,0~50%,370,HS5
浙江省-衢州市,0~50%,923,HS5
广东省-惠州市,50%+,24,HS5
山东省-临沂市,0~50%,1185,HS5
安徽省-蚌埠市,0~50%,438,HS5
宁夏回族自治区-固原市,0~50%,389,HS5
北京市-门头沟区,0~50%,79,HS5
山西省-忻州市,0~50%,737,HS5
安徽省-宣城市,50%+,4,HS5
上海市-普陀区,0~50%,3,HS5
海南省-琼海市,50%+,871,HS5
安徽省-六安市,0~50%,905,HS5
云南省-玉溪市,0~50%,730,HS5
海南省-屯昌县,50%+,7,HS5
重庆市-巴南区,0~50%,1168,HS5
广东省-江门市,50%+,13,HS5
黑龙江省-大庆市,0~50%,181,HS5
湖北省-荆门市,50%+,3,HS5
山西省-朔州市,0~50%,345,HS5
安徽省-安徽省,50%+,1,HS5
河南省-信阳市,50%+,15,HS5
江西省-上饶市,50%+,11,HS5
天津市-大港区,0~50%,145,HS5
重庆市-开县,50%+,1,HS5
云南省-红河哈尼族彝族自治州,0~50%,659,HS5
陕西省-宝鸡市,0~50%,645,HS5
西藏自治区-阿里地区,0~50%,11,HS5
云南省-丽江市,0~50%,112,HS5
江苏省-苏州市,50%+,10,HS5
黑龙江省-哈尔滨市,50%+,18,HS5
内蒙古自治区-乌海市,50%+,12,HS5
河北省-秦皇岛市,0~50%,1072,HS5
上海市-崇明县,0~50%,42,HS5
浙江省-丽水市,0~50%,508,HS5
甘肃省-陇南市,0~50%,757,HS5
广西壮族自治区-柳州市,50%+,13,HS5
广西壮族自治区-钦州市,0~50%,505,HS5
四川省-雅安市,0~50%,1347,HS5
江苏省-南京市,50%+,12,HS5
河南省-焦作市,50%+,7,HS5
吉林省-松原市,50%+,48,HS5
福建省-莆田市,0~50%,241,HS5
宁夏回族自治区-吴忠市,0~50%,626,HS5
辽宁省-辽宁省,50%+,2,HS5
青海省-海南藏族自治州,0~50%,644,HS5
新疆维吾尔自治区-塔城地区,50%+,3,HS5
安徽省-宿州市,50%+,9,HS5
福建省-南平市,50%+,30,HS5
新疆维吾尔自治区-博尔塔拉蒙古自治州,0~50%,164,HS5
山东省-日照市,50%+,3,HS5
安徽省-芜湖市,0~50%,255,HS5
浙江省-湖州市,50%+,6,HS5
黑龙江省-伊春市,0~50%,144,HS5
广西壮族自治区-北海市,0~50%,249,HS5
广西壮族自治区-玉林市,50%+,4,HS5
广西壮族自治区-百色市,0~50%,307,HS5
河南省-南阳市,0~50%,601,HS5
福建省-漳州市,0~50%,925,HS5
河南省-濮阳市,0~50%,214,HS5
重庆市-长寿区,50%+,3,HS5
天津市-南开区,0~50%,2,HS5
海南省-琼中黎族苗族自治县,0~50%,138,HS5
河北省-廊坊市,0~50%,1130,HS5
重庆市-万盛区,0~50%,17,HS5
重庆市-北碚区,0~50%,448,HS5
山西省-长治市,0~50%,667,HS5
四川省-遂宁市,0~50%,1178,HS5
河南省-周口市,0~50%,585,HS5
山东省-泰安市,50%+,7,HS5
辽宁省-鞍山市,0~50%,253,HS5
广西壮族自治区-梧州市,0~50%,348,HS5
陕西省-商洛市,0~50%,589,HS5
辽宁省-辽阳市,0~50%,264,HS5
河南省-鹤壁市,0~50%,231,HS5
辽宁省-阜新市,0~50%,185,HS5
辽宁省-沈阳市,0~50%,940,HS5
湖南省-郴州市,0~50%,1001,HS5
浙江省-金华市,0~50%,1457,HS5
广东省-珠海市,50%+,1,HS5
福建省-龙岩市,50%+,6,HS5
广东省-阳江市,0~50%,724,HS5
浙江省-绍兴市,0~50%,2035,HS5
四川省-南充市,0~50%,2573,HS5
黑龙江省-大兴安岭地区,0~50%,72,HS5
甘肃省-嘉峪关市,0~50%,20,HS5
四川省-自贡市,0~50%,369,HS5
湖南省-岳阳市,0~50%,658,HS5
贵州省-贵州省,0~50%,49,HS5
广东省-汕尾市,0~50%,476,HS5
山东省-莱芜市,0~50%,257,HS5
重庆市-江津区,50%+,1,HS5
北京市-朝阳区,0~50%,523,HS5
山东省-菏泽市,50%+,9,HS5
山东省-烟台市,0~50%,1654,HS5
安徽省-安庆市,50%+,6,HS5
黑龙江省-鸡西市,50%+,2,HS5
黑龙江省-双鸭山市,0~50%,21,HS5
四川省-阿坝藏族羌族自治州,0~50%,145,HS5
山西省-晋中市,50%+,17,HS5
重庆市-梁平县,50%+,2,HS5
江苏省-宿迁市,50%+,4,HS5
黑龙江省-佳木斯市,0~50%,158,HS5
辽宁省-本溪市,0~50%,189,HS5
四川省-达州市,50%+,30,HS5
河南省-安阳市,0~50%,411,HS5
吉林省-四平市,50%+,120,HS5
广西壮族自治区-防城港市,50%+,1,HS5
安徽省-黄山市,0~50%,366,HS5
青海省-果洛藏族自治州,0~50%,95,HS5
河北省-石家庄市,0~50%,1571,HS5
甘肃省-酒泉市,0~50%,541,HS5
贵州省-六盘水市,50%+,12,HS5
广东省-梅州市,0~50%,430,HS5
天津市-静海县,50%+,2,HS5
浙江省-宁波市,0~50%,2643,HS5
广西壮族自治区-广西壮族自治区,0~50%,52,HS5
海南省-昌江黎族自治县,0~50%,53,HS5
山西省-晋城市,0~50%,450,HS5
青海省-青海省,0~50%,3,HS5
云南省-楚雄彝族自治州,0~50%,946,HS5
重庆市-铜梁县,50%+,1,HS5
湖北省-仙桃市,0~50%,264,HS5
天津市-西青区,0~50%,365,HS5
安徽省-淮南市,0~50%,153,HS5
河南省-许昌市,0~50%,1102,HS5
山东省-德州市,50%+,3,HS5
甘肃省-定西市,0~50%,906,HS5
广东省-茂名市,50%+,6,HS5
浙江省-杭州市,0~50%,4119,HS5
重庆市-永川区,0~50%,196,HS5
新疆维吾尔自治区-克拉玛依市,0~50%,125,HS5
河北省-保定市,50%+,67,HS5
海南省-东方市,50%+,1,HS5
海南省-陵水黎族自治县,0~50%,649,HS5
海南省-儋州市,0~50%,114,HS5
广东省-韶关市,0~50%,924,HS5
甘肃省-武威市,0~50%,271,HS5
河北省-邯郸市,0~50%,556,HS5
天津市-天津市,0~50%,35,HS5
广东省-深圳市,50%+,3,HS5
广西壮族自治区-贺州市,50%+,13,HS5
天津市-东丽区,50%+,12,HS5
河南省-平顶山市,50%+,11,HS5
江苏省-江苏省,50%+,2,HS5
北京市-昌平区,50%+,1,HS5
黑龙江省-牡丹江市,50%+,3,HS5
湖南省-湖南省,0~50%,78,HS5
广东省-广州市,50%+,12,HS5
重庆市-奉节县,0~50%,175,HS5
贵州省-黔东南苗族侗族自治州,0~50%,1606,HS5
甘肃省-兰州市,0~50%,1844,HS5
湖南省-永州市,0~50%,975,HS5
重庆市-万州区,50%+,9,HS5
云南省-昭通市,0~50%,587,HS5
山东省-枣庄市,50%+,1,HS5
陕西省-西安市,50%+,16,HS5
广西壮族自治区-南宁市,50%+,56,HS5
上海市-松江区,0~50%,610,HS5
云南省-昆明市,50%+,35,HS5
山西省-运城市,50%+,38,HS5
北京市-海淀区,0~50%,234,HS5
浙江省-温州市,0~50%,649,HS5
山东省-济南市,0~50%,2426,HS5
四川省-内江市,50%+,12,HS5
辽宁省-盘锦市,0~50%,393,HS5
内蒙古自治区-锡林郭勒盟,50%+,39,HS5
安徽省-马鞍山市,50%+,2,HS5
新疆维吾尔自治区-昌吉回族自治州,0~50%,973,HS5
贵州省-黔西南布依族苗族自治州,0~50%,1417,HS5
海南省-五指山市,50%+,15,HS5
安徽省-亳州市,50%+,5,HS5
新疆维吾尔自治区-吐鲁番地区,0~50%,3228,HS5
北京市-通州区,0~50%,738,HS5
青海省-海东地区,50%+,11,HS5
江西省-南昌市,0~50%,967,HS5
辽宁省-抚顺市,0~50%,309,HS5
黑龙江省-鹤岗市,50%+,1,HS5
河南省-商丘市,0~50%,482,HS5
河南省-开封市,50%+,23,HS5
重庆市-涪陵区,50%+,2,HS5
浙江省-浙江省,0~50%,124,HS5
安徽省-铜陵市,50%+,4,HS5
安徽省-滁州市,0~50%,1295,HS5
甘肃省-临夏回族自治州,0~50%,160,HS5
河北省-沧州市,50%+,39,HS5
湖北省-黄石市,0~50%,144,HS5
湖南省-娄底市,50%+,1,HS5
湖南省-怀化市,50%+,25,HS5
内蒙古自治区-赤峰市,50%+,35,HS5
北京市-顺义区,0~50%,486,HS5
海南省-万宁市,0~50%,792,HS5
黑龙江省-七台河市,0~50%,45,HS5
云南省-云南省,0~50%,77,HS5
安徽省-蚌埠市,50%+,10,HS5
上海市-金山区,0~50%,101,HS5
